hour,utility,volatility
541.0,-400.0,0.7
542.0,-400.0,0.7
543.0,-400.0,0.7
544.0,-400.0,0.7
545.0,-400.0,0.7
546.0,-400.0,0.7
547.0,-400.0,0.7
548.0,-400.0,0.7
549.0,-400.0,0.7
550.0,-400.0,0.7
551.0,-400.0,0.7
552.0,-377.5,0.7
553.0,120.0,0.7
554.0,-388.75,0.7
555.0,-377.5,0.7
556.0,-368.23750000000007,0.7
557.0,-350.58549999999997,0.7
558.0,-393.3565,0.7
559.0,158.949,0.7
560.0,-302.7355,0.7
561.0,-180.82375,0.7
562.0,-198.2275,0.7
563.0,-186.56510000000003,0.7
564.0,-18.911350000000056,0.7
565.0,476.30449999999996,0.7
566.0,-346.79660000000007,0.7
567.0,-262.56289999999996,0.7
568.0,-57.765249999999995,0.7
569.0,-256.681,0.7
570.0,-302.28249999999997,0.7
571.0,-326.71225,0.7
572.0,-372.51624999999996,0.7
573.0,116.49000000000001,0.7
574.0,-385.0,0.7
575.0,-377.5,0.7
576.0,-377.5,0.7
577.0,-381.25,0.7
578.0,-377.5,0.7
579.0,-377.5,0.7
580.0,-370.0,0.7
581.0,-396.25,0.7
582.0,-377.5,0.7
583.0,-392.5,0.7
584.0,-381.25,0.7
585.0,117.5,0.7
586.0,-373.75,0.7
587.0,-392.5,0.7
588.0,-388.75,0.7
589.0,-373.75,0.7
590.0,122.5,0.7
591.0,-379.375,0.7
592.0,-385.02625,0.7
593.0,-357.72325,0.7
594.0,158.4615,0.7
595.0,-311.57800000000003,0.7
596.0,-272.63275,0.7
597.0,-263.8825,0.7
598.0,-148.1275,0.7
599.0,-73.63299999999995,0.7
600.0,142.42819999999998,0.7
601.0,487.2127499999999,0.7
602.0,-643.1036,0.7
603.0,-65.25174999999997,0.7
604.0,238.62400000000002,0.7
605.0,-400.0,0.7
606.0,-400.0,0.7
607.0,-400.0,0.7
608.0,-400.0,0.7
609.0,-400.0,0.7
610.0,-400.0,0.7
611.0,-400.0,0.7
612.0,-400.0,0.7
613.0,-400.0,0.7
614.0,-400.0,0.7
615.0,-400.0,0.7
616.0,-400.0,0.7
617.0,-400.0,0.7
618.0,-400.0,0.7
619.0,-400.0,0.7
620.0,-400.0,0.7
621.0,-400.0,0.7
622.0,-400.0,0.7
623.0,-400.0,0.7
624.0,-385.0,0.7
625.0,-377.5,1.0
626.0,-385.0,1.0
627.0,119.25,1.0
628.0,-370.0525,1.0
629.0,-369.80275,1.0
630.0,-334.23025,1.0
631.0,-325.57825,1.0
632.0,160.1925,1.0
633.0,-166.97125,1.0
634.0,-55.37724999999995,1.0
635.0,376.3215,1.0
636.0,109.01024545454534,1.0
637.0,1820.425625,1.0
638.0,911.1460000000001,1.0
639.0,-400.0,1.0
640.0,-400.0,1.0
641.0,-400.0,1.0
642.0,-400.0,1.0
643.0,-400.0,1.0
644.0,-400.0,1.0
645.0,-400.0,1.0
646.0,-400.0,1.0
647.0,-400.0,1.0
648.0,182.93124999999986,1.0
649.0,1314.9186666666667,1.0
650.0,899.3585,1.0
651.0,-1166.6155999999999,1.0
652.0,-416.94079999999985,1.0
653.0,-42.41275000000002,1.0
654.0,-400.0,1.0
655.0,-400.0,1.0
656.0,-400.0,1.0
657.0,-400.0,1.0
658.0,-400.0,1.0
659.0,-400.0,1.0
660.0,-400.0,1.0
661.0,-400.0,1.0
662.0,-400.0,1.0
663.0,-400.0,1.0
664.0,-400.0,1.0
665.0,-400.0,1.0
666.0,-400.0,1.0
667.0,-400.0,1.0
668.0,-400.0,1.0
669.0,-400.0,1.0
670.0,-400.0,1.0
671.0,-400.0,1.0
672.0,-381.25,1.0
673.0,-385.0,1.0
674.0,-366.25,1.0
675.0,-381.25,1.0
676.0,112.5,1.0
677.0,-377.3125,1.0
678.0,-378.03775,1.0
679.0,-373.426,1.0
680.0,-313.39975,1.0
681.0,170.13550000000004,1.0
682.0,-211.08474999999999,1.0
683.0,-122.01999999999998,1.0
684.0,-535.7892327868856,1.0
685.0,307.999,1.0
686.0,-400.0,1.0
687.0,-400.0,1.0
688.0,-400.0,1.0
689.0,-400.0,1.0
690.0,-400.0,1.0
691.0,-400.0,1.0
692.0,-400.0,1.0
693.0,-400.0,1.0
694.0,-400.0,1.0
695.0,-400.0,1.0
696.0,-392.5,1.0
697.0,-385.0,1.0
698.0,-385.0,1.0
699.0,107.5,1.0
700.0,-370.0,1.0
701.0,-377.5,1.0
702.0,-385.0,1.0
703.0,117.5,1.0
704.0,-373.75,1.0
705.0,-385.0,1.0
706.0,-381.25,1.0
707.0,-392.5,1.0
708.0,-388.75,1.0
709.0,-377.3125,1.0
710.0,-361.56624999999997,1.0
711.0,131.00250000000005,1.0
712.0,-353.11225,1.0
713.0,-341.64025000000004,1.0
714.0,-235.23325,1.0
715.0,251.899,1.0
716.0,440.068,1.0
717.0,-179.60990000000004,1.0
718.0,820.501,1.0
719.0,1322.5573333333334,1.0
720.0,-578.6473999999998,1.0
721.0,-332.8583000000001,1.0
722.0,-19.116857142857242,1.0
723.0,384.7695,1.0
724.0,237.378,1.0
725.0,-400.0,1.0
726.0,-400.0,1.0
727.0,-400.0,1.0
728.0,-400.0,1.0
729.0,-400.0,1.0
730.0,-400.0,1.0
731.0,-400.0,1.0
732.0,-400.0,1.0
733.0,-400.0,1.0
734.0,-400.0,1.0
735.0,-400.0,1.0
736.0,-400.0,1.0
737.0,-400.0,1.0
738.0,-400.0,1.0
739.0,-400.0,1.0
740.0,-400.0,1.0
741.0,-400.0,1.0
742.0,-400.0,1.0
743.0,-400.0,1.0
744.0,-396.25,1.0
745.0,-400.0,1.0
746.0,-388.75,1.0
747.0,-367.0,1.0
748.0,-385.02625,1.0
749.0,136.603,1.0
750.0,139.8605,1.0
751.0,-327.6535,1.0
752.0,198.0045,1.0
753.0,154.39549999999997,1.0
754.0,327.8495,1.0
755.0,-105.70824999999999,1.0
756.0,942.0799999999999,1.0
757.0,-1440.8942000000002,1.0
758.0,-400.0,1.0
759.0,-400.0,1.0
760.0,-400.0,1.0
761.0,-400.0,1.0
762.0,-400.0,1.0
763.0,-400.0,1.0
764.0,-400.0,1.0
765.0,-400.0,1.0
766.0,-400.0,1.0
767.0,-400.0,1.0
768.0,-674.2832,1.0
769.0,-959.4887000000001,1.0
770.0,793.615,1.0
771.0,-76.86175000000006,1.0
772.0,712.615,1.0
773.0,291.998,1.0
774.0,178.02100000000002,1.0
775.0,-400.0,1.0
776.0,-400.0,1.0
777.0,-400.0,1.0
778.0,-400.0,1.0
779.0,-400.0,1.0
780.0,-400.0,1.0
781.0,-400.0,1.0
782.0,-400.0,1.0
783.0,-400.0,1.0
784.0,-400.0,1.0
785.0,-400.0,1.0
786.0,-400.0,1.0
787.0,-400.0,1.0
788.0,-400.0,1.0
789.0,-400.0,1.0
790.0,-400.0,1.0
791.0,-400.0,1.0
792.0,-392.5,1.0
793.0,-372.77500000000003,1.0
794.0,125.62199999999996,1.0
795.0,-333.5665,1.0
796.0,142.87199999999996,1.0
797.0,-293.00725,1.0
798.0,-277.16875000000005,1.0
799.0,260.08,1.0
800.0,-243.9955,1.0
801.0,724.07025,1.0
802.0,346.076,1.0
803.0,868.51775,1.0
804.0,1285.8893333333333,1.0
805.0,-400.0,1.0
806.0,-400.0,1.0
807.0,-400.0,1.0
808.0,-400.0,1.0
809.0,-400.0,1.0
810.0,-400.0,1.0
811.0,-400.0,1.0
812.0,-400.0,1.0
813.0,-400.0,1.0
814.0,-400.0,1.0
815.0,-400.0,1.0
816.0,175.0,1.0
817.0,-400.0,1.0
818.0,-400.0,1.0
819.0,-400.0,1.0
820.0,-400.0,1.0
821.0,-400.0,1.0
822.0,-400.0,1.0
823.0,-400.0,1.0
824.0,-400.0,1.0
825.0,-400.0,1.0
826.0,-400.0,1.0
827.0,-400.0,1.0
828.0,-400.0,1.0
829.0,-400.0,1.0
830.0,-400.0,1.0
831.0,-400.0,1.0
832.0,-400.0,1.0
833.0,-400.0,1.0
834.0,-400.0,1.0
835.0,-400.0,1.0
836.0,-400.0,1.0
837.0,-400.0,1.0
838.0,-400.0,1.0
839.0,-400.0,1.0
840.0,-396.25,1.0
841.0,-377.5,1.0
842.0,-362.5,1.0
843.0,-383.5,1.0
844.0,-359.16249999999997,1.0
845.0,-365.06125,1.0
846.0,-361.567,1.0
847.0,-357.72325,1.0
848.0,-326.923,1.0
849.0,-326.923,1.0
850.0,-327.6535,1.0
851.0,-321.5095,1.0
852.0,-1565.4199999999998,1.0
853.0,-826.9556000000002,1.0
854.0,420.64,1.0
855.0,-400.0,1.0
856.0,-400.0,1.0
857.0,-400.0,1.0
858.0,-400.0,1.0
859.0,-400.0,1.0
860.0,-400.0,1.0
861.0,-400.0,1.0
862.0,-400.0,1.0
863.0,-400.0,1.0
864.0,-381.25,1.0
865.0,-377.5,1.0
866.0,112.5,1.0
867.0,-381.25,1.0
868.0,-388.75,1.0
869.0,-388.75,1.0
870.0,-388.75,1.0
871.0,-385.0,1.0
872.0,-388.75,1.0
873.0,-385.0,1.0
874.0,-370.0,1.0
875.0,-392.5,1.0
876.0,115.0,1.0
877.0,-362.875,1.0
878.0,-370.0525,1.0
879.0,-363.76300000000003,1.0
880.0,-334.23025,1.0
881.0,-285.05049999999994,1.0
882.0,-293.00800000000004,1.0
883.0,230.29499999999996,1.0
884.0,-111.44874999999999,1.0
885.0,-311.48960000000017,1.0
886.0,-179.2598,1.0
887.0,374.44100000000003,1.0
