hour,opti_function,volatility,event
598.0,-472.9440837318121,0.7,HOLIDAY
599.0,-476.04762874652033,0.7,HOLIDAY
600.0,-395.1224666666667,0.7,HOLIDAY
601.0,-404.7475156742317,0.7,HOLIDAY
602.0,-397.35375191295094,0.7,HOLIDAY
603.0,-424.4170147613823,0.7,HOLIDAY
604.0,-425.77498496238235,0.7,HOLIDAY
605.0,-409.72748530808116,0.7,HOLIDAY
606.0,-402.3146396533082,0.7,HOLIDAY
607.0,-430.20549773594547,0.7,HOLIDAY
608.0,-411.3498413955602,0.7,HOLIDAY
609.0,-404.5128609521229,0.7,HOLIDAY
610.0,-396.2368646840187,0.7,HOLIDAY
611.0,-386.29217694816174,0.7,HOLIDAY
612.0,-1755.7993371306486,0.7,HOLIDAY
613.0,-737.8889718816148,0.7,HOLIDAY
614.0,895.8765046620501,0.7,HOLIDAY
615.0,373.8632627569249,0.7,HOLIDAY
616.0,-68.7448050249548,0.7,HOLIDAY
617.0,-137.6231812636103,0.7,HOLIDAY
618.0,-278.5919919014846,0.7,HOLIDAY
619.0,-343.39563333165233,0.7,HOLIDAY
620.0,-348.01915866987963,0.7,HOLIDAY
621.0,-385.9999863929645,0.7,HOLIDAY
622.0,-449.8089091982075,0.7,HOLIDAY
623.0,-440.6719132969379,0.7,HOLIDAY
624.0,-403.6666666666667,0.7,HOLIDAY
625.0,-413.3225242576614,1.0,NORMAL
626.0,-410.2341079872328,1.0,NORMAL
627.0,-415.78386630831545,1.0,NORMAL
628.0,-417.09362454951673,1.0,NORMAL
629.0,-405.3616734869076,1.0,NORMAL
630.0,78.25932222166023,1.0,NORMAL
631.0,73.63315898840762,1.0,NORMAL
632.0,-405.12291269799994,1.0,NORMAL
633.0,-415.57227534917627,1.0,NORMAL
634.0,78.56631555936919,1.0,NORMAL
635.0,-432.5030643423577,1.0,NORMAL
636.0,-416.0671792813033,1.0,NORMAL
637.0,-424.78179623980975,1.0,NORMAL
638.0,83.89389780483171,1.0,NORMAL
639.0,106.3477287745657,1.0,NORMAL
640.0,-355.54904085214145,1.0,NORMAL
641.0,-301.91761384109896,1.0,NORMAL
642.0,-153.95370425090678,1.0,NORMAL
643.0,-147.62438010642836,1.0,NORMAL
644.0,-214.75234918864254,1.0,NORMAL
645.0,1121.6310293097042,1.0,NORMAL
646.0,672.8512878391195,1.0,NORMAL
647.0,-1275.0495486851942,1.0,NORMAL
648.0,327.9312666666667,1.0,NORMAL
649.0,857.8353266588271,1.0,NORMAL
650.0,-1129.4744114398693,1.0,NORMAL
651.0,-903.4016664269268,1.0,NORMAL
652.0,-434.456345375248,1.0,NORMAL
653.0,-435.92235623512227,1.0,NORMAL
654.0,-437.45074132005914,1.0,NORMAL
655.0,-439.04415446029856,1.0,NORMAL
656.0,-440.7053623983443,1.0,NORMAL
657.0,-442.43724959303086,1.0,NORMAL
658.0,-444.24282322798956,1.0,NORMAL
659.0,-446.1252184332084,1.0,NORMAL
660.0,-448.08770372875375,1.0,NORMAL
661.0,-450.13368670010544,1.0,NORMAL
662.0,-452.26671991495954,1.0,NORMAL
663.0,-454.49050709177317,1.0,NORMAL
664.0,-456.80890953076135,1.0,NORMAL
665.0,-459.22595281851346,1.0,NORMAL
666.0,-461.74583381786965,1.0,NORMAL
667.0,-464.37292795519556,1.0,NORMAL
668.0,-467.1117968177074,1.0,NORMAL
669.0,-469.9671960740404,1.0,NORMAL
670.0,-472.9440837318121,1.0,NORMAL
671.0,-476.04762874652033,1.0,NORMAL
672.0,-407.6666666666667,1.0,NORMAL
673.0,-399.928965384654,1.0,NORMAL
674.0,89.98285042131737,1.0,NORMAL
675.0,-410.1853915705141,1.0,NORMAL
676.0,113.27778873516355,1.0,NORMAL
677.0,-354.83250365985754,1.0,NORMAL
678.0,-309.50568682267806,1.0,NORMAL
679.0,186.6032771696757,1.0,NORMAL
680.0,-361.14151376354414,1.0,NORMAL
681.0,-317.2877989934291,1.0,NORMAL
682.0,-193.89621662620524,1.0,NORMAL
683.0,-151.16955704560826,1.0,NORMAL
684.0,-1565.7776539567217,1.0,NORMAL
685.0,-1117.3920704120003,1.0,NORMAL
686.0,-436.5867039404717,1.0,NORMAL
687.0,-438.1433549642412,1.0,NORMAL
688.0,-439.76623667153297,1.0,NORMAL
689.0,-441.4581669729594,1.0,NORMAL
690.0,-443.2220836725088,1.0,NORMAL
691.0,-445.06104956863686,1.0,NORMAL
692.0,-446.9782577723952,1.0,NORMAL
693.0,-448.9770372518283,1.0,NORMAL
694.0,-451.0608586122685,1.0,NORMAL
695.0,-453.2333401225642,1.0,NORMAL
696.0,-403.4166666666667,1.0,NORMAL
697.0,-399.928965384654,1.0,NORMAL
698.0,-413.60405362820387,1.0,NORMAL
699.0,-405.8688173439807,1.0,NORMAL
700.0,-406.7567209369423,1.0,NORMAL
701.0,-407.6824020798915,1.0,NORMAL
702.0,-404.25545538232205,1.0,NORMAL
703.0,98.02371877520338,1.0,NORMAL
704.0,81.09966495878814,1.0,NORMAL
705.0,-411.7960918858852,1.0,NORMAL
